Date,Open,High,Low,Close,Adj Close,Volume
2021-05-26,2707.052734,2911.735596,2652.094482,2888.698730,2888.698730,42499766020
2021-05-27,2888.752441,2888.752441,2642.607910,2736.488525,2736.488525,33373635283
2021-05-28,2742.468994,2761.363281,2336.361328,2419.906250,2419.906250,39999114805
2021-05-29,2414.067139,2566.938477,2208.490967,2279.514160,2279.514160,33773720220
2021-05-30,2278.288818,2472.187744,2188.834473,2390.305420,2390.305420,25876619428
2021-05-31,2387.198486,2715.854980,2279.505127,2714.945313,2714.945313,31007383150
2021-06-01,2707.560547,2739.737549,2531.160645,2633.518311,2633.518311,27363223090
2021-06-02,2634.456055,2801.392334,2555.401367,2706.125000,2706.125000,27723267359
2021-06-03,2708.376221,2891.254883,2667.684326,2855.126465,2855.126465,30038207402
2021-06-04,2857.165527,2857.165527,2562.637451,2688.195068,2688.195068,34173841611
2021-06-05,2691.619385,2817.484863,2558.233643,2630.576904,2630.576904,30496672724
2021-06-06,2629.748779,2743.441162,2616.162354,2715.092773,2715.092773,25311639414
